priority_rank,school_id,school_name,region,priority_score,priority_category,risk_score,risk_level,regional_risk_score,regional_risk_level,problem_detected,recommended_intervention,intervention_priority,expected_improvement_range,assumption_basis,weak_subject_count,weak_subjects,weakest_subject,weakest_subject_gpa,weakest_subject_pass_rate,pass_rate_decline_score,subject_failure_score,trend_instability_score,data_quality,data_origin,scenario_origin
2072,S4376,MGERA SECONDARY SCHOOL,TANGA,39.31546229662076,Low,24.73850752445343,Safe,20.294586897484997,Safe,6 weak subjects indicate a broad instructional challenge.,Teacher Development Program,Low,Assumption-based scenario estimate: +3% to +8% pass rate,"Planning scenario only; the range is not a measured, causal, or guaranteed outcome.",6,"BASIC MATHEMATICS, BIOLOGY, CIVICS, ENGLISH LANGUAGE, HISTORY, PHYSICS",BASIC MATHEMATICS,4.8085,10.638297872340425,3.915050062578118,33.9080459770115,43.33357902106244,Complete,observed-derived,assumption-based
2073,S2095,IMESELA SECONDARY SCHOOL,SHINYANGA,39.31310483870968,Low,30.953758684246274,Moderate,13.63569660813777,Safe,Latest mathematics performance meets the weak-subject threshold.,Mathematics Tutoring Program,Low,Assumption-based scenario estimate: +5% to +12% pass rate,"Planning scenario only; the range is not a measured, causal, or guaranteed outcome.",2,"BASIC MATHEMATICS, ENGLISH LANGUAGE",BASIC MATHEMATICS,4.4839,27.419354838709676,0.0,29.775280898876403,73.40391471527785,Complete,observed-derived,assumption-based
2074,S2848,KWALAKAMU SECONDARY SCHOOL,KILIMANJARO,39.310833333333335,Low,20.18929740465109,Safe,12.807062794844985,Safe,3 weak subjects indicate a broad instructional challenge.,Teacher Development Program,Low,Assumption-based scenario estimate: +3% to +8% pass rate,"Planning scenario only; the range is not a measured, causal, or guaranteed outcome.",3,"BASIC MATHEMATICS, BIOLOGY, CIVICS",BASIC MATHEMATICS,4.7727,13.636363636363635,0.0,27.64537654909438,39.652281466409256,Complete,observed-derived,assumption-based
2075,S2253,PONGWE SECONDARY SCHOOL,TANGA,39.30601293103449,Low,32.24053590959826,Moderate,20.294586897484997,Safe,5 weak subjects indicate a broad instructional challenge.,Teacher Development Program,Low,Assumption-based scenario estimate: +3% to +8% pass rate,"Planning scenario only; the range is not a measured, causal, or guaranteed outcome.",5,"BASIC MATHEMATICS, BIOLOGY, CIVICS, ENGLISH LANGUAGE, HISTORY",BASIC MATHEMATICS,4.8719,6.896551724137931,0.0,37.52442996742671,69.94402306456749,Complete,observed-derived,assumption-based
2076,S3777,WINAM CAREER SECONDARY SCHOOL,SIMIYU,39.30589163641862,Low,11.264463034553168,Safe,8.844839643051184,Safe,Current evidence does not cross a targeted intervention threshold.,Monitor and Maintain Support,Low,Assumption-based scenario estimate: +0% to +2% pass rate,"Planning scenario only; the range is not a measured, causal, or guaranteed outcome.",1,BOOK-KEEPING,BOOK-KEEPING,4.4286,57.14285714285714,0.0,2.296819787985868,35.25139032719136,Complete,observed-derived,assumption-based
2077,S4417,VIANZI SECONDARY SCHOOL,PWANI,39.30298580786027,Low,32.35925127509749,Moderate,17.439754644711357,Safe,4 weak subjects indicate a broad instructional challenge.,Teacher Development Program,Low,Assumption-based scenario estimate: +3% to +8% pass rate,"Planning scenario only; the range is not a measured, causal, or guaranteed outcome.",4,"BASIC MATHEMATICS, BIOLOGY, CIVICS, GEOGRAPHY",BASIC MATHEMATICS,4.8472,6.550218340611353,0.0,39.70747562296858,68.15669529402307,Complete,observed-derived,assumption-based
2078,S1902,SUGUTI SECONDARY SCHOOL,MARA,39.30135135135135,Low,26.435630042360515,Safe,14.728177735991629,Safe,6 weak subjects indicate a broad instructional challenge.,Teacher Development Program,Low,Assumption-based scenario estimate: +3% to +8% pass rate,"Planning scenario only; the range is not a measured, causal, or guaranteed outcome.",6,"BASIC MATHEMATICS, BIOLOGY, ENGLISH LANGUAGE, GEOGRAPHY, HISTORY, PHYSICS",BASIC MATHEMATICS,4.9189,5.405405405405405,0.0,38.57142857142857,49.54733823643981,Complete,observed-derived,assumption-based
2079,S2390,KIKUNDE SECONDARY SCHOOL,TANGA,39.30081730769231,Low,25.692990943198637,Safe,20.294586897484997,Safe,4 weak subjects indicate a broad instructional challenge.,Teacher Development Program,Low,Assumption-based scenario estimate: +3% to +8% pass rate,"Planning scenario only; the range is not a measured, causal, or guaranteed outcome.",4,"BASIC MATHEMATICS, BIOLOGY, CIVICS, PHYSICS",BASIC MATHEMATICS,4.8077,13.461538461538462,0.0,31.093544137022405,54.54975900697306,Complete,observed-derived,assumption-based
2080,S0914,MUYAMA SECONDARY SCHOOL,KIGOMA,39.29546460492219,Low,25.257694279566344,Safe,15.6157062435702,Safe,4 weak subjects indicate a broad instructional challenge.,Teacher Development Program,Low,Assumption-based scenario estimate: +3% to +8% pass rate,"Planning scenario only; the range is not a measured, causal, or guaranteed outcome.",4,"BASIC MATHEMATICS, BIOLOGY, ENGLISH LANGUAGE, PHYSICS",BASIC MATHEMATICS,4.75,13.709677419354838,3.8170758607715842,37.462834489593654,41.64004529459872,Complete,observed-derived,assumption-based
2081,S2522,MPONDE SECONDARY SCHOOL,TANGA,39.292278225806456,Low,21.09592937505979,Safe,20.294586897484997,Safe,5 weak subjects indicate a broad instructional challenge.,Teacher Development Program,Low,Assumption-based scenario estimate: +3% to +8% pass rate,"Planning scenario only; the range is not a measured, causal, or guaranteed outcome.",5,"BASIC MATHEMATICS, BIOLOGY, ENGLISH LANGUAGE, HISTORY, PHYSICS",BASIC MATHEMATICS,4.9032,6.451612903225806,0.0,35.36585365853658,34.95391092499605,Complete,observed-derived,assumption-based
2082,S6460,NKUNGULU SECONDARY SCHOOL,MWANZA,39.280436046511625,Low,7.957317073170733,Safe,12.76285609523234,Safe,4 weak subjects indicate a broad instructional challenge.,Teacher Development Program,Low,Assumption-based scenario estimate: +3% to +8% pass rate,"Planning scenario only; the range is not a measured, causal, or guaranteed outcome.",4,"BASIC MATHEMATICS, BIOLOGY, CIVICS, PHYSICS",BASIC MATHEMATICS,4.4884,39.53488372093023,0.0,26.524390243902445,0.0,Insufficient trend history,observed-derived,assumption-based
2083,S4561,NYASHISHI SECONDARY SCHOOL,MWANZA,39.27881127450987,Low,13.80353609659474,Safe,12.76285609523234,Safe,8 weak subjects indicate a broad instructional challenge.,Teacher Development Program,Low,Assumption-based scenario estimate: +3% to +8% pass rate,"Planning scenario only; the range is not a measured, causal, or guaranteed outcome.",8,"BASIC MATHEMATICS, BIOLOGY, BOOK-KEEPING, CHEMISTRY, CIVICS, COMMERCE, GEOGRAPHY, PHYSICS",BOOK-KEEPING,4.8571,14.285714285714285,1.6339869281050103,30.048076923076934,13.785060828098857,Limited trend history,observed-derived,assumption-based
2084,S2276,DODOMA IBRA SECONDARY SCHOOL,DODOMA,39.273095348838126,Low,19.951106273455885,Safe,15.43601814574629,Safe,9 weak subjects indicate a broad instructional challenge.,Teacher Development Program,Low,Assumption-based scenario estimate: +3% to +8% pass rate,"Planning scenario only; the range is not a measured, causal, or guaranteed outcome.",9,"BASIC MATHEMATICS, BIOLOGY, BOOK-KEEPING, CIVICS, COMMERCE, ENGLISH LANGUAGE, GEOGRAPHY, HISTORY, PHYSICS",PHYSICS,4.6316,31.57894736842105,0.0,29.573934837092736,36.92975274109356,Complete,observed-derived,assumption-based
2085,S5832,MWANDEGE SECONDARY SCHOOL,PWANI,39.268760296540364,Low,34.22465756039097,Moderate,17.439754644711357,Safe,5 weak subjects indicate a broad instructional challenge.,Teacher Development Program,Low,Assumption-based scenario estimate: +3% to +8% pass rate,"Planning scenario only; the range is not a measured, causal, or guaranteed outcome.",5,"BASIC MATHEMATICS, BIOLOGY, CIVICS, GEOGRAPHY, HISTORY",BASIC MATHEMATICS,4.8007,11.202635914332784,0.0,42.827742333813546,71.25444953415636,Complete,observed-derived,assumption-based
2086,S6447,KASENGA SECONDARY SCHOOL,GEITA,39.263352272727275,Low,8.778523489932883,Safe,16.926172579617003,Safe,4 weak subjects indicate a broad instructional challenge.,Teacher Development Program,Low,Assumption-based scenario estimate: +3% to +8% pass rate,"Planning scenario only; the range is not a measured, causal, or guaranteed outcome.",4,"BASIC MATHEMATICS, BIOLOGY, LITERATURE IN ENGLISH, PHYSICS",BASIC MATHEMATICS,4.5,22.727272727272727,0.0,29.261744966442947,0.0,Insufficient trend history,observed-derived,assumption-based
2087,S1032,ITIGI SECONDARY SCHOOL,SINGIDA,39.2591847826087,Low,32.11283075823307,Moderate,16.00969834893016,Safe,7 weak subjects indicate a broad instructional challenge.,Teacher Development Program,Low,Assumption-based scenario estimate: +3% to +8% pass rate,"Planning scenario only; the range is not a measured, causal, or guaranteed outcome.",7,"BASIC MATHEMATICS, BIOLOGY, CIVICS, ELIMU YA DINI YA KIISLAMU, ENGLISH LANGUAGE, PHYSICAL EDUCATION, PHYSICS",BIOLOGY,4.5507,36.95652173913043,0.0,37.75971093044264,69.28305826366763,Complete,observed-derived,assumption-based
2088,S0877,KILIMANGWIDO SECONDARY SCHOOL,TANGA,39.258750000000006,Low,38.801561016266376,Moderate,20.294586897484997,Safe,8 weak subjects indicate a broad instructional challenge.,Teacher Development Program,Low,Assumption-based scenario estimate: +3% to +8% pass rate,"Planning scenario only; the range is not a measured, causal, or guaranteed outcome.",8,"BASIC MATHEMATICS, BIOLOGY, CHEMISTRY, CIVICS, ENGLISH LANGUAGE, GEOGRAPHY, HISTORY, PHYSICS",BASIC MATHEMATICS,5.0,0.0,0.0,61.224489795918366,68.11404692496956,Complete,observed-derived,assumption-based
2089,S2412,FURAHA SECONDARY SCHOOL,KUSINI PEMBA,39.2575,Low,34.78978612209408,Moderate,29.748407031979866,Safe,8 weak subjects indicate a broad instructional challenge.,Teacher Development Program,Low,Assumption-based scenario estimate: +3% to +8% pass rate,"Planning scenario only; the range is not a measured, causal, or guaranteed outcome.",8,"ARABIC LANGUAGE, BASIC MATHEMATICS, BIOLOGY, CIVICS, ENGLISH LANGUAGE, GEOGRAPHY, HISTORY, PHYSICS",BASIC MATHEMATICS,4.9333,5.333333333333334,0.0,37.81021897810219,78.15573476221141,Complete,observed-derived,assumption-based
2090,S6201,MIGHARENI SECONDARY SCHOOL,KILIMANJARO,39.256875,Low,14.336755471591625,Safe,12.807062794844985,Safe,5 weak subjects indicate a broad instructional challenge.,Teacher Development Program,Low,Assumption-based scenario estimate: +3% to +8% pass rate,"Planning scenario only; the range is not a measured, causal, or guaranteed outcome.",5,"BASIC MATHEMATICS, BIOLOGY, CIVICS, HISTORY, PHYSICS",BASIC MATHEMATICS,4.8281,9.375,0.0,40.54621848739496,7.24296641791046,Limited trend history,observed-derived,assumption-based
2091,S3183,ISENYELA SECONDARY SCHOOL,MBEYA,39.25655873493976,Low,23.950034587038296,Safe,15.2299274586872,Safe,4 weak subjects indicate a broad instructional challenge.,Teacher Development Program,Low,Assumption-based scenario estimate: +3% to +8% pass rate,"Planning scenario only; the range is not a measured, causal, or guaranteed outcome.",4,"BASIC MATHEMATICS, BIOLOGY, CIVICS, HISTORY",BASIC MATHEMATICS,4.8072,10.843373493975903,0.0,29.98379254457049,49.8496560788905,Complete,observed-derived,assumption-based
2092,S4303,NEMBA SECONDARY SCHOOL,KAGERA,39.25544354838709,Low,18.95033973826559,Safe,12.691611547450492,Safe,5 weak subjects indicate a broad instructional challenge.,Teacher Development Program,Low,Assumption-based scenario estimate: +3% to +8% pass rate,"Planning scenario only; the range is not a measured, causal, or guaranteed outcome.",5,"BASIC MATHEMATICS, BIOLOGY, CIVICS, HISTORY, PHYSICS",BASIC MATHEMATICS,4.7677,12.903225806451612,0.0,35.18379594898725,27.98400317856471,Complete,observed-derived,assumption-based
2093,S4221,MAKANGALE SECONDARY SCHOOL,KASKAZINI PEMBA,39.25484649122807,Low,32.59468738237314,Moderate,31.490757867177578,Moderate,8 weak subjects indicate a broad instructional challenge.,Teacher Development Program,Low,Assumption-based scenario estimate: +3% to +8% pass rate,"Planning scenario only; the range is not a measured, causal, or guaranteed outcome.",8,"ARABIC LANGUAGE, BASIC MATHEMATICS, BIOLOGY, CIVICS, ENGLISH LANGUAGE, GEOGRAPHY, HISTORY, PHYSICS",BASIC MATHEMATICS,4.9912,0.8771929824561403,0.0,40.70484581497797,67.94411212626582,Complete,observed-derived,assumption-based
2094,S0617,LUSANGA SECONDARY SCHOOL,MOROGORO,39.25153614457831,Low,19.62215361545809,Safe,15.95585882761668,Safe,4 weak subjects indicate a broad instructional challenge.,Teacher Development Program,Low,Assumption-based scenario estimate: +3% to +8% pass rate,"Planning scenario only; the range is not a measured, causal, or guaranteed outcome.",4,"BASIC MATHEMATICS, BIOLOGY, ENGLISH LANGUAGE, HISTORY",BASIC MATHEMATICS,4.8072,8.433734939759036,0.0,38.79651623119557,26.610662486998056,Complete,observed-derived,assumption-based
2095,S3790,MAFISA SECONDARY SCHOOL,TANGA,39.249127478429905,Low,36.87389013709709,Moderate,20.294586897484997,Safe,Latest mathematics performance meets the weak-subject threshold.,Mathematics Tutoring Program,Low,Assumption-based scenario estimate: +5% to +12% pass rate,"Planning scenario only; the range is not a measured, causal, or guaranteed outcome.",2,"BASIC MATHEMATICS, PHYSICS",BASIC MATHEMATICS,4.8378,13.513513513513514,11.704093099442602,27.617328519855604,79.6901811378779,Complete,observed-derived,assumption-based
2096,S6487,CHITEGO SECONDARY SCHOOL,DODOMA,39.246339285714285,Low,9.975550122249386,Safe,15.43601814574629,Safe,5 weak subjects indicate a broad instructional challenge.,Teacher Development Program,Low,Assumption-based scenario estimate: +3% to +8% pass rate,"Planning scenario only; the range is not a measured, causal, or guaranteed outcome.",5,"BASIC MATHEMATICS, BIOLOGY, CIVICS, GEOGRAPHY, HISTORY",BASIC MATHEMATICS,4.7679,12.5,0.0,33.25183374083129,0.0,Insufficient trend history,observed-derived,assumption-based
2097,S5870,MANG'A SECONDARY SCHOOL,KILIMANJARO,39.24375,Low,35.048454236454795,Moderate,12.807062794844985,Safe,6 weak subjects indicate a broad instructional challenge.,Teacher Development Program,Low,Assumption-based scenario estimate: +3% to +8% pass rate,"Planning scenario only; the range is not a measured, causal, or guaranteed outcome.",6,"BASIC MATHEMATICS, BIOLOGY, CIVICS, ENGLISH LANGUAGE, HISTORY, PHYSICS",PHYSICS,5.0,0.0,0.0,45.22821576763485,71.5999650205478,Limited trend history,observed-derived,assumption-based
2098,S2480,KWAMTORO SECONDARY SCHOOL,DODOMA,39.23331896551724,Low,34.22019714262558,Moderate,15.43601814574629,Safe,8 weak subjects indicate a broad instructional challenge.,Teacher Development Program,Low,Assumption-based scenario estimate: +3% to +8% pass rate,"Planning scenario only; the range is not a measured, causal, or guaranteed outcome.",8,"BASIC MATHEMATICS, BIOLOGY, CIVICS, ENGLISH LANGUAGE, GEOGRAPHY, HISTORY, LITERATURE IN ENGLISH, PHYSICS",BASIC MATHEMATICS,4.8793,12.068965517241379,0.0,42.85714285714286,71.21018095160906,Complete,observed-derived,assumption-based
2099,S1499,UKUKWE SECONDARY SCHOOL,MBEYA,39.22188218390805,Low,23.90771218823579,Safe,15.2299274586872,Safe,3 weak subjects indicate a broad instructional challenge.,Teacher Development Program,Low,Assumption-based scenario estimate: +3% to +8% pass rate,"Planning scenario only; the range is not a measured, causal, or guaranteed outcome.",3,"BASIC MATHEMATICS, BIOLOGY, PHYSICS",BASIC MATHEMATICS,4.4023,29.88505747126437,0.0,31.52777777777777,48.164596183008214,Complete,observed-derived,assumption-based
2100,S1865,MKINGALEO SECONDARY SCHOOL,TANGA,39.22003816793893,Low,30.94029829595206,Moderate,20.294586897484997,Safe,7 weak subjects indicate a broad instructional challenge.,Teacher Development Program,Low,Assumption-based scenario estimate: +3% to +8% pass rate,"Planning scenario only; the range is not a measured, causal, or guaranteed outcome.",7,"BASIC MATHEMATICS, BIOLOGY, CIVICS, ENGLISH LANGUAGE, GEOGRAPHY, HISTORY, PHYSICS",BASIC MATHEMATICS,4.9771,1.5267175572519083,0.0,45.91254752851711,57.22178012465643,Complete,observed-derived,assumption-based
2101,S1012,SHIMBWE SECONDARY SCHOOL,KILIMANJARO,39.215439814814815,Low,23.334468979909886,Safe,12.807062794844985,Safe,4 weak subjects indicate a broad instructional challenge.,Teacher Development Program,Low,Assumption-based scenario estimate: +3% to +8% pass rate,"Planning scenario only; the range is not a measured, causal, or guaranteed outcome.",4,"BASIC MATHEMATICS, BIOLOGY, HISTORY, PHYSICS",BASIC MATHEMATICS,4.6667,14.814814814814813,0.0,33.091787439613526,44.68977582675277,Complete,observed-derived,assumption-based
2102,S2242,NYALUHANDE DAY SECONDARY SCHOOL,SIMIYU,39.21275735294118,Low,18.363718207546626,Safe,8.844839643051184,Safe,3 weak subjects indicate a broad instructional challenge.,Teacher Development Program,Low,Assumption-based scenario estimate: +3% to +8% pass rate,"Planning scenario only; the range is not a measured, causal, or guaranteed outcome.",3,"BASIC MATHEMATICS, BIOLOGY, CIVICS",BASIC MATHEMATICS,4.5515,21.323529411764707,0.0,34.54724409448819,26.665149930667233,Complete,observed-derived,assumption-based
2103,S5024,ECO SECONDARY SCHOOL,MANYARA,39.20866071428571,Low,17.784583247263054,Safe,9.64228792784645,Safe,5 weak subjects indicate a broad instructional challenge.,Teacher Development Program,Low,Assumption-based scenario estimate: +3% to +8% pass rate,"Planning scenario only; the range is not a measured, causal, or guaranteed outcome.",5,"BASIC MATHEMATICS, BIOLOGY, CIVICS, HISTORY, PHYSICS",BASIC MATHEMATICS,4.875,10.714285714285714,0.0,33.1868131868132,26.09513097073032,Complete,observed-derived,assumption-based
2104,S3247,ZIMANIMOTO SECONDARY SCHOOL,RUVUMA,39.20712460478846,Low,11.970915661901019,Safe,13.15909616684323,Safe,Latest mathematics performance meets the weak-subject threshold.,Mathematics Tutoring Program,Low,Assumption-based scenario estimate: +5% to +12% pass rate,"Planning scenario only; the range is not a measured, causal, or guaranteed outcome.",2,"BASIC MATHEMATICS, PHYSICS",BASIC MATHEMATICS,4.7983,10.92436974789916,4.392876917076535,21.41434262948208,12.631540354085939,Complete,observed-derived,assumption-based
2105,S2190,MAKURO SECONDARY SCHOOL,SINGIDA,39.20623724489796,Low,22.304550069740042,Safe,16.00969834893016,Safe,4 weak subjects indicate a broad instructional challenge.,Teacher Development Program,Low,Assumption-based scenario estimate: +3% to +8% pass rate,"Planning scenario only; the range is not a measured, causal, or guaranteed outcome.",4,"BASIC MATHEMATICS, BIOLOGY, CIVICS, GEOGRAPHY",BASIC MATHEMATICS,4.5918,21.428571428571427,0.0,38.67403314917127,35.67446708329554,Complete,observed-derived,assumption-based
2106,S2444,IDIFU SECONDARY SCHOOL,DODOMA,39.20559426229508,Low,26.190616595677533,Safe,15.43601814574629,Safe,5 weak subjects indicate a broad instructional challenge.,Teacher Development Program,Low,Assumption-based scenario estimate: +3% to +8% pass rate,"Planning scenario only; the range is not a measured, causal, or guaranteed outcome.",5,"BASIC MATHEMATICS, BIOLOGY, CIVICS, ENGLISH LANGUAGE, HISTORY",BASIC MATHEMATICS,4.4426,24.59016393442623,0.0,34.240362811791385,53.06169250713373,Complete,observed-derived,assumption-based
2107,S2193,KINTINKU SECONDARY SCHOOL,SINGIDA,39.205262681159425,Low,34.48807741425692,Moderate,16.00969834893016,Safe,6 weak subjects indicate a broad instructional challenge.,Teacher Development Program,Low,Assumption-based scenario estimate: +3% to +8% pass rate,"Planning scenario only; the range is not a measured, causal, or guaranteed outcome.",6,"BASIC MATHEMATICS, BIOLOGY, CIVICS, ENGLISH LANGUAGE, GEOGRAPHY, PHYSICS",BIOLOGY,4.7391,20.28985507246377,0.0,43.82239382239382,71.13786422512926,Complete,observed-derived,assumption-based
2108,S3602,NYANDEKWA SECONDARY SCHOOL,SHINYANGA,39.205164473684206,Low,24.194902068785446,Safe,13.63569660813777,Safe,4 weak subjects indicate a broad instructional challenge.,Teacher Development Program,Low,Assumption-based scenario estimate: +3% to +8% pass rate,"Planning scenario only; the range is not a measured, causal, or guaranteed outcome.",4,"BASIC MATHEMATICS, BIOLOGY, CIVICS, HISTORY",BASIC MATHEMATICS,4.6667,17.543859649122805,0.0,37.76722090261283,42.88245266000533,Complete,observed-derived,assumption-based
2109,S1089,KILIMATINDE SECONDARY SCHOOL,SINGIDA,39.20158653846154,Low,22.119399415337636,Safe,16.00969834893016,Safe,6 weak subjects indicate a broad instructional challenge.,Teacher Development Program,Low,Assumption-based scenario estimate: +3% to +8% pass rate,"Planning scenario only; the range is not a measured, causal, or guaranteed outcome.",6,"BASIC MATHEMATICS, BIOLOGY, CIVICS, ENGLISH LANGUAGE, HISTORY, PHYSICS",BASIC MATHEMATICS,4.6308,18.461538461538463,0.0,38.69653767820774,35.03479370625105,Complete,observed-derived,assumption-based
2110,S3590,SENGA SECONDARY SCHOOL,GEITA,39.19289804469274,Low,29.37203297244779,Safe,16.926172579617003,Safe,5 weak subjects indicate a broad instructional challenge.,Teacher Development Program,Low,Assumption-based scenario estimate: +3% to +8% pass rate,"Planning scenario only; the range is not a measured, causal, or guaranteed outcome.",5,"BASIC MATHEMATICS, BIOLOGY, CIVICS, ENGLISH LANGUAGE, GEOGRAPHY",BASIC MATHEMATICS,4.7654,13.40782122905028,0.0,36.23853211009175,61.66824446473423,Complete,observed-derived,assumption-based
2111,S2184,MWARU SECONDARY SCHOOL,SINGIDA,39.18582661290323,Low,25.171889205459934,Safe,16.00969834893016,Safe,5 weak subjects indicate a broad instructional challenge.,Teacher Development Program,Low,Assumption-based scenario estimate: +3% to +8% pass rate,"Planning scenario only; the range is not a measured, causal, or guaranteed outcome.",5,"BASIC MATHEMATICS, BIOLOGY, BOOK-KEEPING, COMMERCE, ENGLISH LANGUAGE",BOOK-KEEPING,5.0,0.0,0.0,40.647482014388494,43.258815337144625,Complete,observed-derived,assumption-based
2112,S0708,KIPINGO SECONDARY SCHOOL,MOROGORO,39.18025641025641,Low,31.66913215326932,Moderate,15.95585882761668,Safe,4 weak subjects indicate a broad instructional challenge.,Teacher Development Program,Low,Assumption-based scenario estimate: +3% to +8% pass rate,"Planning scenario only; the range is not a measured, causal, or guaranteed outcome.",4,"BASIC MATHEMATICS, BIOLOGY, ENGLISH LANGUAGE, FRENCH LANGUAGE",FRENCH LANGUAGE,4.896,9.6,0.0,34.29302623160588,71.27074761262519,Complete,observed-derived,assumption-based
2113,S1270,NYARUBANDA SECONDARY SCHOOL,KIGOMA,39.177026098901095,Low,31.86921515598139,Moderate,15.6157062435702,Safe,5 weak subjects indicate a broad instructional challenge.,Teacher Development Program,Low,Assumption-based scenario estimate: +3% to +8% pass rate,"Planning scenario only; the range is not a measured, causal, or guaranteed outcome.",5,"BASIC MATHEMATICS, BIOLOGY, ENGLISH LANGUAGE, GEOGRAPHY, PHYSICS",BASIC MATHEMATICS,4.9222,4.444444444444445,0.0,39.703903095558545,66.52681409104609,Complete,observed-derived,assumption-based
2114,S0799,MONDO SECONDARY SCHOOL,DODOMA,39.17172619047619,Low,29.2081916644169,Safe,15.43601814574629,Safe,5 weak subjects indicate a broad instructional challenge.,Teacher Development Program,Low,Assumption-based scenario estimate: +3% to +8% pass rate,"Planning scenario only; the range is not a measured, causal, or guaranteed outcome.",5,"BASIC MATHEMATICS, BIOLOGY, ENGLISH LANGUAGE, GEOGRAPHY, HISTORY",BASIC MATHEMATICS,4.7619,18.253968253968253,0.0,40.31311154598826,57.04752733540141,Complete,observed-derived,assumption-based
2115,S2831,MARIA CONSOLATA SECONDARY SCHOOL,IRINGA,39.17119163641927,Low,7.424248115763346,Safe,12.684959143067804,Safe,Current evidence does not cross a targeted intervention threshold.,Monitor and Maintain Support,Low,Assumption-based scenario estimate: +0% to +2% pass rate,"Planning scenario only; the range is not a measured, causal, or guaranteed outcome.",0,,BASIC MATHEMATICS,3.7708,66.66666666666666,0.0,3.836930455635496,20.91056326357566,Complete,observed-derived,assumption-based
2116,S3163,KEZA SECONDARY SCHOOL,KAGERA,39.17,Low,29.776667528835148,Safe,12.691611547450492,Safe,5 weak subjects indicate a broad instructional challenge.,Teacher Development Program,Low,Assumption-based scenario estimate: +3% to +8% pass rate,"Planning scenario only; the range is not a measured, causal, or guaranteed outcome.",5,"BASIC MATHEMATICS, BIBLE KNOWLEDGE, BIOLOGY, CIVICS, PHYSICS",BASIC MATHEMATICS,4.62,22.0,0.0,36.117936117936125,63.13762231151436,Complete,observed-derived,assumption-based
2117,S2989,SAGATA SECONDARY SCHOOL,SIMIYU,39.16916666666667,Low,27.785970475757487,Safe,8.844839643051184,Safe,4 weak subjects indicate a broad instructional challenge.,Teacher Development Program,Low,Assumption-based scenario estimate: +3% to +8% pass rate,"Planning scenario only; the range is not a measured, causal, or guaranteed outcome.",4,"BASIC MATHEMATICS, BIOLOGY, CIVICS, ENGLISH LANGUAGE",BASIC MATHEMATICS,4.7,13.333333333333334,0.0,34.4671201814059,58.1527814044524,Complete,observed-derived,assumption-based
2118,S6449,RUNYAGA SECONDARY SCHOOL,KAGERA,39.16171723300971,Low,8.640552995391706,Safe,12.691611547450492,Safe,4 weak subjects indicate a broad instructional challenge.,Teacher Development Program,Low,Assumption-based scenario estimate: +3% to +8% pass rate,"Planning scenario only; the range is not a measured, causal, or guaranteed outcome.",4,"BASIC MATHEMATICS, BIOLOGY, CIVICS, HISTORY",BASIC MATHEMATICS,4.7767,14.563106796116504,0.0,28.801843317972356,0.0,Insufficient trend history,observed-derived,assumption-based
2119,S3332,GANANA SECONDARY SCHOOL,MANYARA,39.15777371009631,Low,23.737594030037258,Safe,9.64228792784645,Safe,4 weak subjects indicate a broad instructional challenge.,Teacher Development Program,Low,Assumption-based scenario estimate: +3% to +8% pass rate,"Planning scenario only; the range is not a measured, causal, or guaranteed outcome.",4,"BASIC MATHEMATICS, CIVICS, ELIMU YA DINI YA KIISLAMU, PHYSICS",BASIC MATHEMATICS,4.3241,31.48148148148148,9.18531238829635,26.245847176079735,40.632383072982655,Complete,observed-derived,assumption-based
2120,S2173,KIRYA DAY SECONDARY SCHOOL,KILIMANJARO,39.154999999999774,Low,18.41012133910771,Safe,12.807062794844985,Safe,4 weak subjects indicate a broad instructional challenge.,Teacher Development Program,Low,Assumption-based scenario estimate: +3% to +8% pass rate,"Planning scenario only; the range is not a measured, causal, or guaranteed outcome.",4,"BASIC MATHEMATICS, BIOLOGY, CIVICS, ENGLISH LANGUAGE",BASIC MATHEMATICS,4.814,13.953488372093023,0.0,34.60317460317461,26.763896527184425,Complete,observed-derived,assumption-based
2121,S1398,MWINGIRO SECONDARY SCHOOL,GEITA,39.152946428571425,Low,30.407788904537007,Moderate,16.926172579617003,Safe,3 weak subjects indicate a broad instructional challenge.,Teacher Development Program,Low,Assumption-based scenario estimate: +3% to +8% pass rate,"Planning scenario only; the range is not a measured, causal, or guaranteed outcome.",3,"BASIC MATHEMATICS, BIOLOGY, ENGLISH LANGUAGE",BIOLOGY,4.2738,54.761904761904766,0.0,30.20344287949922,71.15585346895747,Complete,observed-derived,assumption-based
2122,S3120,NANDETE SECONDARY SCHOOL,MTWARA,39.15237804878049,Low,24.711677619234628,Safe,15.138119010705694,Safe,5 weak subjects indicate a broad instructional challenge.,Teacher Development Program,Low,Assumption-based scenario estimate: +3% to +8% pass rate,"Planning scenario only; the range is not a measured, causal, or guaranteed outcome.",5,"BASIC MATHEMATICS, BIOLOGY, CIVICS, ENGLISH LANGUAGE, PHYSICS",BASIC MATHEMATICS,4.9512,3.6585365853658534,0.0,35.03401360544217,47.33824512533992,Complete,observed-derived,assumption-based
